"filename", "language", "TypeScript", "JavaScript", "comment", "blank", "total"
"c:\Users\samho\Documents\Uni\Project\BookClubServer\src\database.js", "JavaScript", 0, 136, 0, 1, 137
"c:\Users\samho\Documents\Uni\Project\BookClubServer\src\database.ts", "TypeScript", 88, 0, 0, 86, 174
"c:\Users\samho\Documents\Uni\Project\BookClubServer\src\index.js", "JavaScript", 0, 505, 11, 1, 517
"c:\Users\samho\Documents\Uni\Project\BookClubServer\src\index.ts", "TypeScript", 252, 0, 11, 208, 471
"c:\Users\samho\Documents\Uni\Project\BookClubServer\src\requestHandler.js", "JavaScript", 0, 16, 0, 12, 28
"c:\Users\samho\Documents\Uni\Project\BookClubServer\src\tableInterfaces\bookTable.js", "JavaScript", 0, 179, 0, 1, 180
"c:\Users\samho\Documents\Uni\Project\BookClubServer\src\tableInterfaces\bookTable.ts", "TypeScript", 83, 0, 0, 70, 153
"c:\Users\samho\Documents\Uni\Project\BookClubServer\src\tableInterfaces\clubTables.js", "JavaScript", 0, 228, 0, 1, 229
"c:\Users\samho\Documents\Uni\Project\BookClubServer\src\tableInterfaces\clubTables.ts", "TypeScript", 106, 0, 0, 98, 204
"c:\Users\samho\Documents\Uni\Project\BookClubServer\src\tableInterfaces\connection.js", "JavaScript", 0, 26, 0, 1, 27
"c:\Users\samho\Documents\Uni\Project\BookClubServer\src\tableInterfaces\connection.ts", "TypeScript", 23, 0, 0, 12, 35
"c:\Users\samho\Documents\Uni\Project\BookClubServer\src\tableInterfaces\inviteTable.js", "JavaScript", 0, 150, 0, 1, 151
"c:\Users\samho\Documents\Uni\Project\BookClubServer\src\tableInterfaces\inviteTable.ts", "TypeScript", 67, 0, 0, 59, 126
"c:\Users\samho\Documents\Uni\Project\BookClubServer\src\tableInterfaces\shelfTable.js", "JavaScript", 0, 95, 0, 1, 96
"c:\Users\samho\Documents\Uni\Project\BookClubServer\src\tableInterfaces\shelfTable.ts", "TypeScript", 34, 0, 0, 30, 64
"c:\Users\samho\Documents\Uni\Project\BookClubServer\src\tableInterfaces\userTable.js", "JavaScript", 0, 230, 0, 1, 231
"c:\Users\samho\Documents\Uni\Project\BookClubServer\src\tableInterfaces\userTable.ts", "TypeScript", 130, 0, 0, 118, 248
"Total", "-", 783, 1565, 22, 701, 3071
